symbol,activity,category,notes
ln,laundry,housework,
cl,cleaning,housework,non-clothing tidying
ca,commissions,paid work,
eu,event ushering,paid work,
rt,tutoring,paid work,
cs11,CS 11,classes,
cs156,CS 156a,classes,
ma6,Ma 6a,classes,
en100,En 100,classes,
ee111,EE 111,classes,
me13,ME 13,classes,
br,bathroom,maintainance,
ml,meals/snacks,maintainance,
sl,sleep,maintainance,
tv,movies/TV/games,leisure,
www,internet/books,leisure,non-work internet use e.g. webcomics
soc,socializing,leisure,
pa,personal art,projects,"includes daily diary, skate maintenance, driving lessons, Leetcode (i.e. self-improvement)"
mc,mycology club,projects,
sk8,skate club,projects,
pw,paperwork/travel,other,"includes flights, Ubers, shopping, etc."
ap,appointments,other,"psychiatry, therapy, meetings with profs, etc."
ex,exercise,other,"includes PE class & ""PE"""
